signal_i,entry_i,fill,signal_time,entry_time,signal_mult,outcome,exit_px,exit_i,return_pct,minutes,exit_time,ticker,date,gap_pct,open_price
7,8,1.533105057477951,10:29,10:32,9.937517431006029,EOD,1.4850000143051147,41,-4.137752558978047,316.0,15:48,CLIK,2026-07-15,6.428573922235181,1.4900000095367432
0,4,2.4040798902511598,09:30,09:34,5.35896694736182,SL,2.163671901226044,44,-10.999999999999995,40.0,10:14,LEDS,2026-07-15,6.2500046566128535,2.380000114440918
2,24,2.122365081310272,09:32,09:54,5.23681924706378,EOD,2.065000057220459,389,-3.702882015680263,365.0,15:59,AMC,2026-07-15,4.591832266207476,2.049999952316284
13,33,1.7955000400543213,09:54,10:14,5.633176748331767,TP,1.9750500440597536,107,9.00000000000001,79.0,11:33,CLIK,2026-07-16,6.824320950065807,1.5809999704360962
11,28,2.1,09:41,09:58,5.209741648949233,TP,2.3100000000000005,36,9.000000000000018,8.0,10:06,STIM,2026-07-16,4.891299594383921,1.9299999475479128
16,41,2.0790000200271606,09:46,10:11,8.480669742267235,SL,1.8711000180244446,115,-10.999999999999996,77.0,11:28,PMAX,2026-07-17,17.111995945121976,2.059999942779541
1,5,1.4227500200271608,09:31,09:35,9.46742275970875,TP,1.565025022029877,7,9.000000000000005,2.0,09:37,TRUG,2026-07-17,16.23932172560853,1.3600000143051147
30,41,1.2600000500679016,10:00,10:11,8.826312512969496,TP,1.3860000550746918,79,9.000000000000004,38.0,10:49,GLXG,2026-07-17,11.214953166906032,1.190000057220459
3,4,1.4857499599456787,09:33,09:34,7.582207941624602,TP,1.6343249559402466,5,9.000000000000004,1.0,09:35,GIPR,2026-07-17,8.870968827347841,1.350000023841858
12,15,2.37195006608963,09:42,09:45,7.506369406108999,SL,2.1347550594806672,34,-10.999999999999998,19.0,10:04,AMC,2026-07-20,13.402060968790517,2.200000047683716
29,57,1.3576499819755554,09:59,10:27,6.29182539421727,EOD,1.375,388,0.27794484990881596,332.0,15:59,SLNH,2026-07-20,5.309740021417584,1.190000057220459
126,133,1.1658149421215058,11:36,11:43,6.2886673270129405,TP,1.2823964363336564,149,9.0,16.0,11:59,LASE,2026-07-21,12.8440349915345,1.2300000190734863
