symbol,name,exchange,last_close,last_volume
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,1.149999976158142,960245.0
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,1.4500000476837158,2440.0
AIIA,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,NYSE,10.1899995803833,9878.0
AIIO,Robo.ai Inc. - Class B Ordinary Shares,NASDAQ,2.9800000190734863,470485.0
AIIR,Air Global PLC - Ordinary shares,NASDAQ,6.309999942779541,7492.0
AIMD,"Ainos, Inc. - Common Stock",NASDAQ,1.4199999570846558,20613.0
AIOS,AIOS Tech Inc. - Class A Common Shares,NASDAQ,12.100000381469727,10091.0
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,4.21999979019165,874018.0
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,1.4800000190734863,18499.0
AIRG,"Airgain, Inc. - Common Stock",NASDAQ,5.71999979019165,67415.0
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,5.949999809265137,2813638.0
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,7.610000133514404,305150.0
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,4.949999809265137,256851.0
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,1.909999966621399,259921.0
AIV,Apartment Investment and Management Company Common Stock,NYSE,2.6500000953674316,668209.0
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,0.7710999846458435,24123.0
AKA,a.k.a. Brands Holding Corp. Common Stock,NYSE,11.3100004196167,5740.0
AKAN,Akanda Corp. - Common Shares,NASDAQ,5.03000020980835,49980.0
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,1.2899999618530273,2973752.0
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,NASDAQ,10.729999542236328,0.0
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ,1.600000023841858,821559.0
ALEC,"Alector, Inc. - Common Stock",NASDAQ,1.4900000095367432,390940.0
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,NASDAQ,10.8100004196167,115.0
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAQ,4.739999771118164,71165.0
ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAQ,13.680000305175781,5719816.0
ALIS,Calisa Acquisition Corp - Ordinary shares,NASDAQ,10.170000076293945,1038.0
ALIT,"Alight, Inc. Class A Common Stock",NYSE,14.430000305175781,1438637.0
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ,1.9500000476837158,5012582.0
ALLR,"Allarity Therapeutics, Inc. - Common stock",NASDAQ,1.3300000429153442,107090.0
ALLT,Allot Ltd. - Ordinary Shares,NASDAQ,7.869999885559082,213991.0
ALM,Almonty Industries Inc. - Common Shares,NASDAQ,13.3100004196167,4935747.0
ALOY,REalloys Inc. - Common Stock,NASDAQ,9.699999809265137,3922669.0
ALP,Alpha Compute Corp  - Common Stock,NASDAQ,0.18410000205039978,1656571.0
ALPS,ALPS Group Inc - Ordinary Share,NASDAQ,0.4025000035762787,7429.0
ALPX,Alpex Acquisition Corporation - Class A Ordinary Shares,NASDAQ,9.890000343322754,387.0
ALT,"Altimmune, Inc. - Common Stock",NASDAQ,3.0299999713897705,3032854.0
ALTG,Alta Equipment Group Inc. Class A Common Stock,NYSE,7.480000019073486,123514.0
ALTI,"AlTi Global, Inc. - Class A Common Stock",NASDAQ,4.619999885559082,1556581.0
ALTO,"Alto Ingredients, Inc. - Common Stock",NASDAQ,5.059999942779541,2302567.0
ALUB,Alussa Energy Acquisition Corp. II Class A Ordinary Shares,NYSE,10.109999656677246,110200.0
ALVO,Alvotech - Ordinary Shares,NASDAQ,3.759999990463257,739436.0
ALXO,ALX Oncology Holdings Inc. - Common Stock,NASDAQ,1.9199999570846558,592511.0
ALZN,"Alzamend Neuro, Inc. - Common Stock",NASDAQ,1.4299999475479126,41172.0
AMAN,Amanat Acquisition Corp - Class A Ordinary Shares,NASDAQ,10.449999809265137,64767.0
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,NYSE,5.090000152587891,2152551.0
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",NYSE,2.6700000762939453,24737649.0
AMCI,AMC Robotics Corporation - Common Stock,NASDAQ,4.809999942779541,144653.0
AMCX,AMC Global Media Inc. - Class A Common Stock,NASDAQ,12.029999732971191,1327676.0
AMIX,"Autonomix Medical, Inc. - Common Stock",NASDAQ,12.100000381469727,13994377.0
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",NASDAQ,4.389999866485596,73439.0
AMPG,"Amplitech Group, Inc. - Common Stock",NASDAQ,5.380000114440918,1233542.0
AMPL,"Amplitude, Inc. - Class A Common Stock",NASDAQ,10.010000228881836,2237095.0
AMPX,"Amprius Technologies, Inc. Common Stock",NYSE,11.720000267028809,11331190.0
AMPY,Amplify Energy Corp. Common Stock,NYSE,3.880000114440918,459515.0
AMSS,AMASS Brands Inc. - Common Stock,NASDAQ,1.2300000190734863,58125.0
AMST,Amesite Inc. - Common Stock,NASDAQ,0.9707000255584717,118418.0
AMTX,"Aemetis, Inc - Common Stock",NASDAQ,1.5499999523162842,2153854.0
AMWL,American Well Corporation Class A Common Stock,NYSE,13.020000457763672,453954.0
