min_gain_from_open_pct,min_volume_mult,take_profit_pct,stop_loss_pct,rr_ratio,sessions_scanned,entries_triggered,num_trades,win_rate_pct,avg_profit_pct,median_profit_pct,total_return_pct,tp_hit_pct,sl_hit_pct,eod_exit_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_r,median_minutes_held,ambiguous_excluded
2.0,2.0,5.0,8.0,0.625,2106,581,581,52.83993115318416,-0.3341602142169825,0.38095201764787945,-194.14708446006682,35.628227194492254,22.375215146299485,41.996557659208264,3.7787907049963243,-4.942466536109265,0.8566371675959058,-0.06761001046251598,10.0,0
2.0,3.0,20.0,3.0,6.666666666666667,2106,356,356,19.662921348314608,-0.3459260017010859,-3.0000000000000013,-123.14965660558657,7.865168539325842,74.71910112359551,17.415730337078653,9.876667521425285,-2.8479593814872604,0.8488064093492184,-0.12146451383742578,0.0,0
2.0,3.0,15.0,3.0,5.0,2106,356,356,21.629213483146067,-0.3562592231656273,-3.000000000000001,-126.82828344696331,10.674157303370785,72.75280898876404,16.573033707865168,8.65828700855056,-2.8441447423131057,0.8401692943621001,-0.12526058110385985,0.0,0
5.0,2.0,10.0,10.0,1.0,2106,473,473,46.30021141649049,-0.35953103328413666,-0.44616032176381876,-170.05817874339664,25.581395348837212,24.947145877378436,49.471458773784356,6.497022075989147,-6.271283517263858,0.8932402933290378,-0.057329736774681644,30.0,0
5.0,2.0,15.0,10.0,1.5,2106,473,473,41.86046511627907,-0.3761580689722278,-0.9747814158195136,-177.92276662386377,18.6046511627907,28.541226215644823,52.85412262156448,8.01233781304861,-6.415875104027231,0.8991576568836079,-0.05862926925371633,40.0,0
2.0,1.5,20.0,3.0,6.666666666666667,2106,911,911,31.284302963776074,-0.39310417779444395,-2.404807436137263,-358.11790597073843,3.0735455543358947,49.50603732162459,47.42041712403952,4.015936102983339,-2.4004148487555756,0.7616773065213284,-0.16376510001937258,10.0,0
2.0,2.0,5.0,5.0,1.0,2106,581,581,45.61101549053356,-0.39607631598030485,-0.48231083574147604,-230.12033958455712,28.57142857142857,35.28399311531842,36.144578313253014,3.600431021186062,-3.7475777221483026,0.8056801014607158,-0.10568861951534222,5.0,0
2.0,5.0,10.0,8.0,1.25,2106,244,244,43.0327868852459,-0.4041073080474985,-3.3500174117505814,-98.60218316358963,34.01639344262295,47.13114754098361,18.852459016393443,8.394370524054647,-7.050439483376457,0.8993866657715399,-0.05731661253178666,5.0,0
2.0,1.5,10.0,3.0,3.3333333333333335,2106,911,911,33.15038419319429,-0.4059872393193686,-1.917812872120769,-369.85437501994477,7.574094401756312,47.85949506037321,44.56641053787047,3.594154677499092,-2.3896372538992945,0.7458550482065233,-0.16989492386633087,10.0,0
5.0,3.0,5.0,10.0,0.5,2106,315,315,56.507936507936506,-0.40840652386149456,3.341589855360181,-128.6480550163708,49.523809523809526,24.444444444444443,26.031746031746035,4.5583577975933744,-6.861574766335704,0.8631455708189871,-0.05952081523110713,5.0,0
8.0,3.0,10.0,10.0,1.0,2106,275,275,45.09090909090909,-0.41280454590177534,-0.8849619138639415,-113.52125012298822,34.54545454545455,35.63636363636364,29.818181818181817,8.070788035037717,-7.379463354090498,0.89812316663736,-0.05593964304639502,10.0,0
5.0,1.5,15.0,8.0,1.875,2106,685,685,39.70802919708029,-0.4167182111406052,-0.8534910074822735,-285.45197463131456,11.97080291970803,28.32116788321168,59.70802919708029,6.299489955099684,-4.839983637817019,0.8571964162456824,-0.08609909502267613,35.0,0
2.0,1.5,15.0,3.0,5.0,2106,911,911,31.72338090010977,-0.4300924859856335,-2.3102288417082386,-391.8142547329121,4.171240395170143,49.066959385290886,46.76180021953897,3.802233358436256,-2.3965589956929105,0.7371537877070318,-0.17946250718575865,10.0,0
5.0,1.5,20.0,10.0,2.0,2106,685,685,39.70802919708029,-0.43410546313162746,-0.8345644896195165,-297.3622422451648,10.218978102189782,24.525547445255473,65.25547445255474,7.262354828523966,-5.502960667321268,0.8691603533638316,-0.07888580154852194,55.0,0
5.0,3.0,20.0,8.0,2.5,2106,315,315,31.746031746031743,-0.4657452651377468,-5.096461839023051,-146.70975851839023,16.19047619047619,48.888888888888886,34.92063492063492,12.188451600582171,-6.35141822593771,0.8925639997904191,-0.0733293334763804,20.0,0
2.0,3.0,5.0,5.0,1.0,2106,356,356,44.662921348314605,-0.4673120279326949,-1.3548970300581988,-166.36308194403938,35.95505617977528,43.82022471910113,20.224719101123593,4.270937231359314,-4.291584272741981,0.8032235659856746,-0.10889033005848901,0.0,0
5.0,1.5,10.0,8.0,1.25,2106,685,685,42.627737226277375,-0.47648393149422097,-0.6693402316203049,-326.39149307354137,17.37226277372263,26.423357664233578,56.20437956204379,5.358470836644611,-4.811870171434524,0.8274033431009756,-0.09902260753476867,30.0,0
2.0,1.5,5.0,3.0,1.6666666666666667,2106,911,911,36.44346871569704,-0.48522549675568416,-1.235951251595797,-442.04042754442827,15.477497255762898,45.225027442371015,39.29747530186608,2.811347307503127,-2.375488313705469,0.6786113552117156,-0.20426347456906332,5.0,0
5.0,1.5,20.0,8.0,2.5,2106,685,685,37.66423357664234,-0.5238413694060702,-1.1267595039523421,-358.8313380431581,8.613138686131387,30.364963503649633,61.02189781021898,6.791015133237483,-4.943590731659083,0.830011328351869,-0.10596374130474744,45.0,0
2.0,5.0,10.0,5.0,2.0,2106,244,244,32.78688524590164,-0.5359868933931274,-5.0,-130.7808019879231,24.59016393442623,62.295081967213115,13.114754098360656,8.120807452973898,-4.758813403816067,0.8324279926754345,-0.11263036557880636,0.0,0
5.0,1.5,5.0,8.0,0.625,2106,685,685,49.1970802919708,-0.5420812837622113,0.0,-371.32567937711474,31.386861313868614,22.335766423357665,46.277372262773724,3.681479947539982,-4.632139142810599,0.7696468561489231,-0.11702612271558357,15.0,0
5.0,2.0,10.0,8.0,1.25,2106,473,473,42.706131078224104,-0.5518407582817143,-0.9747814158195136,-261.0206786672509,22.41014799154334,33.40380549682875,44.18604651162791,6.293715237297631,-5.654432312182186,0.8296600113213128,-0.0975943698349349,20.0,0
8.0,2.0,10.0,10.0,1.0,2106,395,395,45.56962025316456,-0.5521376542752351,-0.8044502598644507,-218.09437343871787,26.582278481012654,26.83544303797468,46.58227848101266,6.583755109571835,-6.526373456565806,0.8445702745407304,-0.08460098980694422,20.0,0
5.0,3.0,20.0,10.0,2.0,2106,315,315,34.285714285714285,-0.5545761871222978,-3.22580792836442,-174.6914989435238,18.095238095238095,41.58730158730159,40.317460317460316,12.417859110016273,-7.322803298672856,0.8847544785336144,-0.07573277124933919,30.0,0
5.0,2.0,15.0,8.0,1.875,2106,473,473,38.6892177589852,-0.5738664790716184,-1.4916053394501259,-271.4388446008755,15.856236786469344,36.78646934460888,47.35729386892177,7.595221476918708,-5.728842671989653,0.8366169103505834,-0.10017145031359571,30.0,0
2.0,2.0,15.0,3.0,5.0,2106,581,581,26.506024096385545,-0.5845007348632709,-2.999999999999998,-339.5949269555604,5.851979345955249,59.380378657487086,34.76764199655766,5.009509689591253,-2.6020126912239183,0.6943503460736927,-0.2246340830060814,5.0,0
8.0,1.5,10.0,10.0,1.0,2106,519,519,44.50867052023121,-0.6127581950416259,-0.6688634783288708,-318.02150322660384,21.965317919075144,23.699421965317917,54.33526011560693,5.985606279444597,-5.905196367285783,0.8130051463207354,-0.10376593036537227,40.0,0
2.0,2.0,10.0,3.0,3.3333333333333335,2106,581,581,27.882960413080895,-0.6157440765401289,-2.9999999999999973,-357.74730846981487,9.122203098106713,58.003442340791736,32.87435456110155,4.5019266091530765,-2.594413888192394,0.670903630319779,-0.23733455920139873,5.0,0
8.0,1.5,15.0,10.0,1.5,2106,519,519,40.655105973025044,-0.6229245212962453,-1.1985259664873156,-323.2978265527513,15.606936416184972,26.78227360308285,57.61078998073218,7.311095434644799,-6.058243387216896,0.8267371908095918,-0.10282263050220757,45.0,0
5.0,2.0,5.0,8.0,0.625,2106,473,473,51.162790697674424,-0.6348129707454032,0.23146872550599148,-300.26653516257574,37.420718816067655,27.27272727272727,35.30655391120507,4.006185415576157,-5.496811280225135,0.7635256034257222,-0.11548749600139137,10.0,0
2.0,2.0,20.0,3.0,6.666666666666667,2106,581,581,25.301204819277107,-0.6409316286755945,-2.999999999999998,-372.3812762605204,3.9586919104991396,60.58519793459553,35.45611015490533,5.167878523075462,-2.608431841365469,0.6710585416627151,-0.2457153062278514,5.0,0
2.0,5.0,5.0,10.0,0.5,2106,244,244,58.606557377049185,-0.6557267943328248,4.999999999999997,-159.99733781720926,54.50819672131148,30.327868852459016,15.163934426229508,4.713766496265335,-8.258078681021308,0.8081718376894642,-0.07940428030067262,0.0,0
2.0,3.0,10.0,3.0,3.3333333333333335,2106,356,356,23.03370786516854,-0.6800312732796574,-3.000000000000001,-242.09113328755805,13.48314606741573,71.34831460674157,15.168539325842698,6.5417713392414445,-2.841300668267724,0.6890352746053954,-0.2393380189834879,0.0,0
2.0,2.0,5.0,3.0,1.6666666666666667,2106,581,581,32.70223752151463,-0.6854824263980893,-2.999999999999996,-398.2652897372899,17.03958691910499,53.528399311531835,29.43201376936317,3.207710487879467,-2.5773153003437046,0.6047897967547481,-0.265967623870729,0.0,0
8.0,2.0,5.0,10.0,0.5,2106,395,395,54.43037974683544,-0.7045822559092677,0.6013556121253265,-278.30999108416074,41.265822784810126,21.772151898734176,36.9620253164557,4.083738694781324,-6.423965613678586,0.7593127500804231,-0.10968026578613634,10.0,0
8.0,3.0,15.0,10.0,1.5,2106,275,275,37.45454545454546,-0.7063107103418151,-3.135314505189774,-194.23544534399917,24.363636363636363,42.54545454545455,33.09090909090909,10.849397798228212,-7.62629894512503,0.8519234751812187,-0.09261513552301948,15.0,0
5.0,2.0,20.0,10.0,2.0,2106,473,473,38.05496828752643,-0.7214571953912655,-1.6049652750904118,-341.2492534200686,13.107822410147993,32.1353065539112,54.756871035940804,8.865903809961527,-6.611303546802538,0.8238360692987704,-0.1091248027388166,45.0,0
