ticker,date,prior_close,open_price,gap_pct,high,low,close_price,volume,avg_volume,volume_ratio,daily_gain_high_from_open,daily_drawdown_low_from_open,close_vs_open_pct,intraday_open,max_gain_from_open,max_drawdown_from_open,max_drawdown_before_peak,risk_reward,time_of_peak,minutes_to_peak,time_of_low,intraday_high,intraday_low,intraday_close,intraday_source,bars,gap_bucket,price_bucket,trade_outcome,trade_entry_price,trade_exit_price,trade_exit_time,trade_return_pct,trade_minutes_held,trade_bars_held,trade_mfe_pct,trade_mae_pct
AMWL,2026-02-13,4.329999923706055,4.550000190734863,5.080837665246653,5.889999866485596,4.550000190734863,5.400000095367432,717500,147230.0,4.873327446851865,29.4505410896326,0.0,18.68131580221508,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
AIFA,2026-02-19,1.8359999656677248,2.328000068664551,26.79739173186168,3.5339999198913574,2.25,2.3340001106262207,36267400,108918.3,332.9780211406164,51.80411579277248,3.3505183146019086,0.2577337536382387,,,,,,,,,,,,,,20-50%,$1-3,no_data,,,,,,,,
ANPA,2026-02-24,8.180000305175781,8.850000381469727,8.190709673568254,16.34000015258789,8.850000381469727,12.510000228881836,3732200,454090.0,8.219075513664691,84.63276212734235,0.0,41.35592869663007,,,,,,,,,,,,,,5-10%,$7-10,no_data,,,,,,,,
ANNA,2026-03-02,2.8499999046325684,3.3299999237060547,16.84210649597792,3.690000057220459,3.119999885559082,3.640000104904175,344700,118820.0,2.9010267631711835,10.810815067939988,6.306307596345451,9.309314963980894,,,,,,,,,,,,,,10-20%,$3-7,no_data,,,,,,,,
ANNA,2026-03-03,3.640000104904175,4.260000228881836,17.032969948059463,4.349999904632568,2.877000093460083,3.549999952316284,745200,153080.0,4.868042853409982,2.112668331343154,32.46479016703627,-16.666672263346626,,,,,,,,,,,,,,10-20%,$3-7,no_data,,,,,,,,
ADVB,2026-03-04,4.260000228881836,5.369999885559082,26.056328568991617,5.820000171661377,3.900000095367432,4.590000152587891,6307200,174653.5,36.11264589601697,8.37989377453114,27.374298352310035,-14.525135001748405,,,,,,,,,,,,,,20-50%,$3-7,no_data,,,,,,,,
ALTO,2026-03-05,2.5999999046325684,3.549999952316284,36.53846471267351,4.199999809265137,3.119999885559082,4.019999980926514,27238200,805370.0,33.82072836087761,18.309855371258365,12.112678099520483,13.239437603472826,,,,,,,,,,,,,,20-50%,$3-7,no_data,,,,,,,,
ANNA,2026-03-05,3.2200000286102295,3.660000085830689,13.664597928912611,3.9700000286102295,3.450000047683716,3.839999914169311,676900,256320.0,2.640839575530587,8.469943593162025,5.737705825744816,4.918027981350978,,,,,,,,,,,,,,10-20%,$3-7,no_data,,,,,,,,
ANNA,2026-03-06,3.839999914169311,4.199999809265137,9.374997477667971,5.449999809265137,3.5799999237060547,4.090000152587891,4041400,323560.0,12.490419087649896,29.76190611348407,14.761902707504213,-2.6190395636349435,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ANTX,2026-03-09,2.8499999046325684,3.0199999809265137,5.964915157281814,6.909999847412109,2.9700000286102295,5.25,57968400,955590.0,60.6624179826076,128.8079434123762,1.6556275705983468,73.84106070058117,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
