signal_i,entry_i,fill,signal_time,entry_time,signal_vol,signal_mult,outcome,exit_px,exit_i,return_pct,minutes,exit_time,ticker,date,gap_pct,open_price,baseline
1,15,3.895710074901581,09:31,09:45,12569.0,6.557322792479705,EOD,3.890000104904175,315,-1.1465707120813042,374.0,15:59,NEUP,2026-07-23,14.11411529665,3.799999952316284,1916.7883597883597
1,7,2.981999909877777,09:31,09:37,310217.0,7.143916780881889,TP,3.280199900865555,9,9.000000000000007,2.0,09:39,CJMB,2026-07-24,17.446812871032588,2.759999990463257,43423.93808816246
8,12,2.89799998998642,09:38,09:42,25173.0,7.4874578534652585,SL,2.608199990987778,26,-10.999999999999998,14.0,09:56,MSS,2026-07-24,17.120625239288305,3.009999990463257,3362.022263450835
29,31,2.8770000100135804,09:59,10:01,251060.0,6.920238261384481,TP,3.1647000110149386,63,9.000000000000005,33.0,10:34,WLDS,2026-07-24,14.79820273020276,2.559999942779541,36279.097701149425
72,73,0.47249998748302463,15:56,15:57,31052.0,7.778325611849088,SL,0.4252499887347222,74,-10.999999999999993,1.0,15:58,LSH,2026-07-24,14.55695313141758,0.3619999885559082,3992.1188118811883
81,84,0.10731000155210496,15:04,15:12,73259.0,8.36692107640672,EOD,0.1080000028014183,105,-0.35700192029322686,46.0,15:58,OFAL,2026-07-24,11.214955028086948,0.1190000027418136,8755.789534883721
1,16,1.8392850458621979,09:31,09:46,71671.0,6.354992933435549,TP,2.0232135504484177,31,9.0,15.0,10:01,GMEX,2026-07-27,16.326530943243892,1.7100000381469729,11277.90396475771
5,15,7.260749959945679,09:35,09:45,25821.0,6.4096099827490045,TP,7.986824955940247,48,9.000000000000005,33.0,10:18,AGPU,2026-07-27,14.890510877769511,7.869999885559082,4028.4822429906544
142,172,1.9320000350475313,11:52,12:22,9047.0,6.178273265839209,SL,1.738800031542778,257,-11.000000000000004,85.0,13:47,POLA,2026-07-28,17.687073836934992,1.7300000190734863,1464.325
3,17,4.4940002202987674,09:33,09:47,11682.0,8.206987723167112,EOD,4.614999771118164,308,1.6924687335986022,372.0,15:59,PRLD,2026-07-28,16.966582725759253,4.550000190734863,1423.4211618257261
14,23,1.5645000100135804,09:44,09:53,63578.0,8.767582979250815,TP,1.7209500110149385,334,9.000000000000004,312.0,15:05,OPK,2026-07-28,11.290321340173897,1.3799999952316284,7251.485403726708
55,58,0.2066399931907654,10:25,10:28,2179862.0,6.358088604701892,SL,0.18597599387168887,59,-10.999999999999996,1.0,10:29,OMH,2026-07-28,10.344828294942287,0.1599999964237213,342848.6351052049
18,35,0.771539980173111,09:48,10:05,146443.0,8.797183909901833,SL,0.6943859821557999,152,-10.999999999999993,119.0,12:04,ONMD,2026-07-29,14.386459707679988,0.8109999895095825,16646.577075098816
15,21,0.5341350138187408,09:45,09:51,31159.0,7.804406379278621,EOD,0.5189999938011169,271,-3.8335569895367287,368.0,15:59,OBAI,2026-07-29,13.999998569488524,0.5699999928474426,3992.488151658768
0,2,2.173499929904938,09:30,09:32,454774.0,5.416433419332399,TP,2.390849922895432,8,9.000000000000002,6.0,09:38,LVWR,2026-07-29,10.25641245092704,2.1500000953674316,83961.89241001564
