price_min,price_max,entry_gain,expiry_min,kill_drop,trades,avg_pct,median_pct,win_rate,profit_factor,target_rate,stop_rate,close_rate,worst_pct,median_minutes
0.5,2.0,2,30,10,30,2.4256592167992412,9.000000000000004,66.66666666666666,1.8491428948459803,56.666666666666664,20.0,23.333333333333332,-11.769230063850333,32.0
0.5,2.0,2,30,15,30,2.144152758053552,9.000000000000004,66.66666666666666,1.683263840341129,56.666666666666664,23.333333333333332,20.0,-11.769230063850333,30.5
0.5,2.0,2,30,20,30,2.144152758053552,9.000000000000004,66.66666666666666,1.683263840341129,56.666666666666664,23.333333333333332,20.0,-11.769230063850333,30.5
0.5,2.0,2,45,5,30,2.4256592167992412,9.000000000000004,66.66666666666666,1.8491428948459803,56.666666666666664,20.0,23.333333333333332,-11.769230063850333,32.0
0.5,2.0,2,45,10,30,2.425659216799242,9.000000000000004,66.66666666666666,1.8491428948459805,56.666666666666664,20.0,23.333333333333332,-11.769230063850333,32.0
0.5,2.0,2,45,15,31,2.365309120696987,9.000000000000005,67.74193548387096,1.778862976798374,58.06451612903226,22.58064516129032,19.35483870967742,-11.769230063850333,30.0
0.5,2.0,2,45,20,31,2.365309120696987,9.000000000000005,67.74193548387096,1.778862976798374,58.06451612903226,22.58064516129032,19.35483870967742,-11.769230063850333,30.0
0.5,2.0,2,60,5,30,2.4503918995977023,9.000000000000004,66.66666666666666,1.8578009873444412,56.666666666666664,20.0,23.333333333333332,-11.769230063850333,32.0
0.5,2.0,2,60,10,30,2.450391899597703,9.000000000000004,66.66666666666666,1.8578009873444417,56.666666666666664,20.0,23.333333333333332,-11.769230063850333,32.0
0.5,2.0,2,60,15,31,2.389243975018078,9.000000000000005,67.74193548387096,1.786744387191053,58.06451612903226,22.58064516129032,19.35483870967742,-11.769230063850333,30.0
0.5,2.0,2,60,20,31,2.389243975018078,9.000000000000005,67.74193548387096,1.786744387191053,58.06451612903226,22.58064516129032,19.35483870967742,-11.769230063850333,30.0
0.5,2.0,3,15,5,26,3.050729710148446,9.000000000000004,69.23076923076923,2.0499113109030707,65.38461538461539,23.076923076923077,11.538461538461538,-11.769230063850333,30.5
0.5,2.0,3,15,10,26,3.0507297101484454,9.000000000000004,69.23076923076923,2.04991131090307,65.38461538461539,23.076923076923077,11.538461538461538,-11.769230063850333,30.5
0.5,2.0,3,15,15,26,2.7259145654418813,9.000000000000004,69.23076923076923,1.8438012215356117,65.38461538461539,26.923076923076923,7.6923076923076925,-11.769230063850333,29.5
