min_gain_from_open_pct,min_volume_mult,take_profit_pct,stop_loss_pct,sessions_scanned,entries_triggered,num_trades,win_rate_pct,avg_profit_pct,median_profit_pct,total_return_pct,tp_hit_pct,sl_hit_pct,eod_exit_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_r,median_minutes_held,ambiguous_excluded
10.0,2.0,5.0,10.0,25,11,11,63.63636363636363,-0.7776113054268715,5.000000000000005,-8.553724359695586,54.54545454545454,36.36363636363637,9.090909090909092,4.4923250914720585,-10.0,0.7861568910076102,-0.07776113054268716,0.0,0
5.0,3.0,5.0,3.0,25,12,12,25.0,-0.8172252646007433,-3.000000000000001,-9.80670317520892,16.666666666666664,58.333333333333336,25.0,4.6018310614008655,-2.623577373267946,0.5846763669953942,-0.31149272475345446,0.0,0
2.0,3.0,5.0,3.0,25,13,13,30.76923076923077,-0.8880493655059157,-2.9999999999999982,-11.544641751576904,15.384615384615385,61.53846153846154,23.076923076923077,3.6158481325901373,-2.8897815868819396,0.5561124833031059,-0.30730674232861893,0.0,0
8.0,2.0,15.0,8.0,25,14,14,28.57142857142857,-0.9458672128263651,-4.1735582242922,-13.242140979569111,21.428571428571427,42.857142857142854,35.714285714285715,12.081227593596003,-6.156705135395312,0.7849151341772216,-0.15363204701627026,20.0,0
8.0,1.5,20.0,10.0,25,16,16,31.25,-0.969933749670479,-9.99999999999999,-15.518939994727663,25.0,56.25,18.75,16.66498207487681,-8.985804579010154,0.8429953918551796,-0.10794066809956418,15.0,0
10.0,3.0,15.0,3.0,25,9,9,11.11111111111111,-1.0000000000000062,-3.000000000000006,-9.000000000000055,11.11111111111111,88.88888888888889,0.0,14.999999999999995,-3.000000000000006,0.6249999999999984,-0.3333333333333347,0.0,0
8.0,3.0,5.0,5.0,25,10,10,40.0,-1.0040247200937946,-4.1825787876609954,-10.040247200937946,30.0,50.0,20.0,4.581227593596019,-4.72752626255367,0.646035909574038,-0.21237845425557725,0.0,0
5.0,3.0,20.0,5.0,25,12,12,25.0,-1.0714442738428465,-4.999999999999998,-12.857331286114157,8.333333333333332,58.333333333333336,33.33333333333333,8.251621691099118,-4.179132928823501,0.658160582720213,-0.25637956295984027,5.0,0
8.0,2.0,15.0,5.0,25,14,14,21.428571428571427,-1.0887243556835118,-4.655400407117309,-15.242140979569166,14.285714285714285,50.0,35.714285714285715,11.108303458128011,-4.415186486723018,0.6861629323862894,-0.24658626741077264,5.0,0
10.0,2.0,10.0,10.0,25,11,11,45.45454545454545,-1.1084509348855909,-3.639235924045914,-12.1929602837415,36.36363636363637,45.45454545454545,18.181818181818183,8.289255128060882,-8.939872654007651,0.7726857947602582,-0.1239895664944046,20.0,0
2.0,1.5,10.0,5.0,25,21,21,28.57142857142857,-1.1327239911520337,-5.000000000000002,-23.787203814192708,23.809523809523807,71.42857142857143,4.761904761904762,8.535466030967894,-5.000000000000004,0.6828372824774309,-0.22654479823040655,0.0,0
5.0,3.0,10.0,5.0,25,12,12,25.0,-1.1505585979340747,-4.999999999999998,-13.806703175208897,16.666666666666664,58.333333333333336,25.0,7.935164394734204,-4.179132928823501,0.6329195178267191,-0.27531036162996064,0.0,0
8.0,3.0,15.0,3.0,25,10,10,10.0,-1.2000000000000042,-3.0000000000000027,-12.000000000000043,10.0,90.0,0.0,14.999999999999995,-3.000000000000004,0.5555555555555546,-0.40000000000000085,0.0,0
5.0,2.0,5.0,3.0,25,18,18,22.22222222222222,-1.2222222222222254,-3.0000000000000013,-22.000000000000057,22.22222222222222,77.77777777777779,0.0,5.0000000000000036,-3.0000000000000044,0.47619047619047583,-0.4074074074074079,0.0,0
10.0,3.0,5.0,3.0,25,9,9,22.22222222222222,-1.2222222222222259,-3.0000000000000058,-11.000000000000032,22.22222222222222,77.77777777777779,0.0,5.000000000000006,-3.0000000000000058,0.4761904761904759,-0.40740740740740783,0.0,0
10.0,2.0,5.0,8.0,25,11,11,54.54545454545454,-1.2321567599723258,1.4462756403043568,-13.553724359695583,45.45454545454545,45.45454545454545,9.090909090909092,4.407712606717401,-7.999999999999997,0.6611568910076103,-0.15401959499654078,0.0,0
15.0,3.0,10.0,8.0,25,8,8,37.5,-1.2499999999999936,-7.999999999999991,-9.999999999999948,37.5,62.5,0.0,10.000000000000007,-7.999999999999995,0.7500000000000011,-0.1562499999999993,2.5,0
8.0,1.5,20.0,5.0,25,16,16,18.75,-1.2525154500586257,-5.0000000000000036,-20.040247200938012,12.5,75.0,12.5,14.441636791461347,-4.874242890409389,0.6837339640934972,-0.2569661541740335,0.0,0
