ticker,bar,observed_at,age_s,volume,close
BRCC,2026-08-03 15:54:00-04:00,2026-08-03 23:39:47.956730-04:00,27887.95673,1151.0,1.0741000175476074
BRCC,2026-08-03 15:55:00-04:00,2026-08-03 23:39:47.956730-04:00,27827.95673,9003.0,1.059999942779541
BRCC,2026-08-03 15:56:00-04:00,2026-08-03 23:39:47.956730-04:00,27767.95673,3913.0,1.0700000524520874
BRCC,2026-08-03 15:57:00-04:00,2026-08-03 23:39:47.956730-04:00,27707.95673,39976.0,1.0549999475479126
BRCC,2026-08-03 15:58:00-04:00,2026-08-03 23:39:47.956730-04:00,27647.95673,48757.0,1.034999966621399
BRCC,2026-08-03 15:59:00-04:00,2026-08-03 23:39:47.956730-04:00,27587.95673,213429.0,0.9948999881744385
USDE,2026-08-03 15:41:00-04:00,2026-08-03 23:39:47.956730-04:00,28667.95673,767.0,1.738800048828125
USDE,2026-08-03 15:45:00-04:00,2026-08-03 23:39:47.956730-04:00,28427.95673,237.0,1.7100000381469727
USDE,2026-08-03 15:55:00-04:00,2026-08-03 23:39:47.956730-04:00,27827.95673,451.0,1.6933000087738037
USDE,2026-08-03 15:57:00-04:00,2026-08-03 23:39:47.956730-04:00,27707.95673,1000.0,1.7100000381469727
USDE,2026-08-03 15:58:00-04:00,2026-08-03 23:39:47.956730-04:00,27647.95673,1338.0,1.7100000381469727
USDE,2026-08-03 15:59:00-04:00,2026-08-03 23:39:47.956730-04:00,27587.95673,2124.0,1.7050000429153442
RUBI,2026-08-03 15:53:00-04:00,2026-08-03 23:40:08.094602-04:00,27968.094602,4818.0,2.3399999141693115
RUBI,2026-08-03 15:54:00-04:00,2026-08-03 23:40:08.094602-04:00,27908.094602,6901.0,2.380000114440918
RUBI,2026-08-03 15:55:00-04:00,2026-08-03 23:40:08.094602-04:00,27848.094602,2203.0,2.4000000953674316
RUBI,2026-08-03 15:56:00-04:00,2026-08-03 23:40:08.094602-04:00,27788.094602,1030.0,2.3399999141693115
RUBI,2026-08-03 15:58:00-04:00,2026-08-03 23:40:08.094602-04:00,27668.094602,1937.0,2.355600118637085
RUBI,2026-08-03 15:59:00-04:00,2026-08-03 23:40:08.094602-04:00,27608.094602,4246.0,2.3499999046325684
OXBR,2026-08-03 15:38:00-04:00,2026-08-03 23:40:08.094602-04:00,28868.094602,525.0,1.3849999904632568
OXBR,2026-08-03 15:40:00-04:00,2026-08-03 23:40:08.094602-04:00,28748.094602,525.0,1.4039000272750854
OXBR,2026-08-03 15:45:00-04:00,2026-08-03 23:40:08.094602-04:00,28448.094602,1015.0,1.3849999904632568
OXBR,2026-08-03 15:49:00-04:00,2026-08-03 23:40:08.094602-04:00,28208.094602,675.0,1.360200047492981
OXBR,2026-08-03 15:50:00-04:00,2026-08-03 23:40:08.094602-04:00,28148.094602,697.0,1.371999979019165
OXBR,2026-08-03 15:58:00-04:00,2026-08-03 23:40:08.094602-04:00,27668.094602,545.0,1.3700000047683716
FABC,2026-08-03 15:54:00-04:00,2026-08-03 23:40:08.094602-04:00,27908.094602,449.0,2.7200000286102295
FABC,2026-08-03 15:55:00-04:00,2026-08-03 23:40:08.094602-04:00,27848.094602,60.0,2.7200000286102295
FABC,2026-08-03 15:56:00-04:00,2026-08-03 23:40:08.094602-04:00,27788.094602,1347.0,2.7300000190734863
FABC,2026-08-03 15:57:00-04:00,2026-08-03 23:40:08.094602-04:00,27728.094602,1089.0,2.7249999046325684
FABC,2026-08-03 15:58:00-04:00,2026-08-03 23:40:08.094602-04:00,27668.094602,3266.0,2.7300000190734863
FABC,2026-08-03 15:59:00-04:00,2026-08-03 23:40:08.094602-04:00,27608.094602,505.0,2.7300000190734863
ABTS,2026-08-03 13:21:00-04:00,2026-08-03 23:40:08.094602-04:00,37088.094602,200.0,1.087499976158142
ABTS,2026-08-03 13:25:00-04:00,2026-08-03 23:40:08.094602-04:00,36848.094602,340.0,1.0651999711990356
ABTS,2026-08-03 13:30:00-04:00,2026-08-03 23:40:08.094602-04:00,36548.094602,322.0,1.0700000524520874
ABTS,2026-08-03 15:42:00-04:00,2026-08-03 23:40:08.094602-04:00,28628.094602,322.0,1.0750000476837158
ABTS,2026-08-03 15:55:00-04:00,2026-08-03 23:40:08.094602-04:00,27848.094602,1860.0,1.0399999618530273
ABTS,2026-08-03 15:59:00-04:00,2026-08-03 23:40:08.094602-04:00,27608.094602,2258.0,1.0306999683380127
EDBL,2026-08-03 15:54:00-04:00,2026-08-03 23:40:08.094602-04:00,27908.094602,8563.0,2.2701001167297363
EDBL,2026-08-03 15:55:00-04:00,2026-08-03 23:40:08.094602-04:00,27848.094602,7886.0,2.2701001167297363
EDBL,2026-08-03 15:56:00-04:00,2026-08-03 23:40:08.094602-04:00,27788.094602,3328.0,2.2701001167297363
EDBL,2026-08-03 15:57:00-04:00,2026-08-03 23:40:08.094602-04:00,27728.094602,13501.0,2.259999990463257
EDBL,2026-08-03 15:58:00-04:00,2026-08-03 23:40:08.094602-04:00,27668.094602,7305.0,2.255000114440918
EDBL,2026-08-03 15:59:00-04:00,2026-08-03 23:40:08.094602-04:00,27608.094602,18716.0,2.259999990463257
TGHL,2026-08-03 15:54:00-04:00,2026-08-03 23:40:08.094602-04:00,27908.094602,342.0,1.1891000270843506
TGHL,2026-08-03 15:55:00-04:00,2026-08-03 23:40:08.094602-04:00,27848.094602,7711.0,1.184999942779541
TGHL,2026-08-03 15:56:00-04:00,2026-08-03 23:40:08.094602-04:00,27788.094602,1640.0,1.184999942779541
TGHL,2026-08-03 15:57:00-04:00,2026-08-03 23:40:08.094602-04:00,27728.094602,7642.0,1.184999942779541
TGHL,2026-08-03 15:58:00-04:00,2026-08-03 23:40:08.094602-04:00,27668.094602,8466.0,1.2098000049591064
TGHL,2026-08-03 15:59:00-04:00,2026-08-03 23:40:08.094602-04:00,27608.094602,12849.0,1.2050000429153442
VANI,2026-08-03 15:43:00-04:00,2026-08-03 23:40:08.094602-04:00,28568.094602,1202.0,1.3499000072479248
VANI,2026-08-03 15:49:00-04:00,2026-08-03 23:40:08.094602-04:00,28208.094602,1302.0,1.340000033378601
VANI,2026-08-03 15:50:00-04:00,2026-08-03 23:40:08.094602-04:00,28148.094602,1770.0,1.3300000429153442
VANI,2026-08-03 15:51:00-04:00,2026-08-03 23:40:08.094602-04:00,28088.094602,133.0,1.332900047302246
VANI,2026-08-03 15:55:00-04:00,2026-08-03 23:40:08.094602-04:00,27848.094602,932.0,1.3350000381469727
VANI,2026-08-03 15:58:00-04:00,2026-08-03 23:40:08.094602-04:00,27668.094602,969.0,1.335800051689148
RPGL,2026-08-03 15:44:00-04:00,2026-08-03 23:40:08.094602-04:00,28508.094602,280.0,1.9199999570846558
RPGL,2026-08-03 15:46:00-04:00,2026-08-03 23:40:08.094602-04:00,28388.094602,285.0,1.909999966621399
RPGL,2026-08-03 15:50:00-04:00,2026-08-03 23:40:08.094602-04:00,28148.094602,1226.0,1.9450000524520874
