ticker,yf_bars,al_bars,bar_coverage,vol_coverage,matched_bars,close_mae_bps
NXXT,5997,1125,0.17725529431382359,0.01261099151782751,1063,32.78875290484343
SUNE,3170,1125,0.3410094637223975,0.01296011189741939,1081,39.979420933445056
YYGH,3625,403,0.1006896551724138,0.013099251690297405,365,52.3459181401397
CTSO,586,9,0.008532423208191127,0.01319917555918815,5,131.03153599766438
AMSS,1467,162,0.09815950920245399,0.013451719389912157,144,79.7571761517187
GRML,7272,1730,0.23074807480748075,0.013806075001160961,1678,27.67752597827483
VTIX,3477,674,0.17371297095197008,0.013829781290488426,604,48.58292381315699
CPOP,4383,808,0.1784166096281086,0.01394121376390897,782,63.27908300851822
PMA,1359,281,0.20014716703458427,0.01429890481417092,272,71.7361405069392
ANY,2683,326,0.10920611256056653,0.014686655534899767,293,51.59087066873954
FCHL,764,92,0.112565445026178,0.01491972508838285,86,190.009585431848
CHR,860,26,0.02441860465116279,0.015544240666589769,21,162.02015554910992
PRZO,2768,294,0.08200867052023121,0.015746460815051794,227,44.63220846015188
ACTU,2363,252,0.0876005078290309,0.01707068654883005,207,67.2945743694203
AZIO,1580,437,0.15126582278481013,0.017120747543866062,239,39.531918441432914
KMRK,938,42,0.021321961620469083,0.01794280886516962,20,106.80277364937805
NPT,614,38,0.04071661237785016,0.018388197863885996,25,99.43322988653658
LSH,346,18,0.03757225433526012,0.018691617117426645,13,266.04614199994444
MOBX,3833,1223,0.2598486824941299,0.01879230324744502,996,19.765027923492514
SORA,550,32,0.056363636363636366,0.01926944407846491,31,181.28928345069662
YMAT,1963,123,0.052980132450331126,0.019457249226326127,104,4811.384241083919
WXM,1140,64,0.043859649122807015,0.02011564763281313,50,124.30853595959393
AQB,285,12,0.03859649122807018,0.020179866968696662,11,88.43171696749368
FGL,1061,127,0.10933081998114987,0.020498002781499852,116,104.30458987425395
MGIH,664,45,0.061746987951807226,0.020552745535448006,41,95.82288472988522
HODO,2449,366,0.13352388730093917,0.020690236282824306,327,86.41164866989692
ONCO,2307,135,0.04811443433029909,0.022026058415190886,111,51.59816180913026
WRAP,5140,1832,0.33715953307393,0.022448864205164648,1733,26.131026119805696
MTVA,1634,320,0.15789473684210525,0.023000081984129003,258,38.198353407734395
QTEX,6379,1618,0.2393792130427967,0.0231637647250074,1527,26.13025038245192
AURE,421,33,0.07600950118764846,0.02325550639153287,32,221.47727032497073
LESL,4374,1213,0.25171467764060357,0.023723178193781187,1101,51.88479749157424
VANI,2821,689,0.22970577809287487,0.023924998174325876,648,28.58180662320253
CODX,2228,315,0.11490125673249552,0.02397753680524837,256,55.24022239193093
DGNX,4134,1065,0.23173681664247703,0.024460758653819227,958,35.67903861004013
OFAL,1935,133,0.059948320413436694,0.025575192113400484,116,1252.1079993693688
LASE,6426,2099,0.30127606598194834,0.025896222605233776,1936,28.961291861754546
ZDAI,517,12,0.019342359767891684,0.02598752598752599,10,168.96335549627025
CTNT,2758,347,0.11022480058013052,0.026013879207808975,304,41.00027008515536
SBFM,863,70,0.06257242178447277,0.026112900264710324,54,43.97261491024902
EPSM,433,18,0.03926096997690531,0.02619922876020337,17,143.66440434781407
NEXM,392,24,0.05102040816326531,0.02652478385039709,20,35.59214224441676
AGPU,3365,622,0.16523031203566121,0.027449717665863484,556,36.66128929675821
WETH,1118,40,0.03488372093023256,0.028627413819944093,39,67.96944438856804
OBAI,2745,373,0.11147540983606558,0.029080931728268436,306,45.058071136396954
GCL,1011,46,0.03165182987141444,0.02922732708746133,32,97.2352212447282
IVF,1350,63,0.04,0.029574736549659086,54,51.121758115703216
SEER,3771,1229,0.2781755502519226,0.030620978067256936,1049,15.524036124753417
