tp,ratchet,etp,esl,trades,avg_pct,median_pct,win_rate,profit_factor,is_avg,oos_avg,drop_best10,target_rate,stop_rate,close_rate,median_minutes
15,True,23.0,12.0,55,1.1212451973410413,-1.1457712943990095,45.45454545454545,1.2660631592298688,0.053029950229209394,2.0789554188895814,-1.4404792559194903,10.909090909090908,56.36363636363636,32.72727272727273,74.0
8,False,,,55,1.1207678630494635,7.0000000000000036,61.81818181818181,1.3498797159754896,1.117904869839578,1.123334684547982,0.2672802591549268,60.0,21.818181818181817,18.181818181818183,26.0
10,True,15.0,9.0,55,1.1104465527770186,4.837563851096586,60.0,1.3417025899605295,1.3206421497158347,0.9219953279353216,-0.027072915629828567,3.6363636363636362,76.36363636363637,20.0,35.0
10,True,15.0,7.0,55,1.106452266580634,4.837563851096586,60.0,1.3404734826838804,1.2718212449641337,0.9581904238919786,-0.5254339425367225,12.727272727272727,67.27272727272727,20.0,37.0
10,True,22.0,9.0,55,1.0849714024388806,4.837563851096586,60.0,1.3338634689975204,1.0898729189466043,1.0805769393629903,-0.027072915629828567,1.8181818181818181,78.18181818181819,20.0,35.0
6,True,11.0,5.0,55,1.044819651524345,3.999999999999999,63.63636363636363,1.3655027484585196,1.8167987196059134,0.3527004870374219,-0.20769338956584477,23.636363636363637,60.0,16.363636363636363,19.0
6,True,9.0,3.0,55,1.0362152500804833,2.0,63.63636363636363,1.3624927243151337,1.8530849926498936,0.30384927398377015,-0.12472063089524593,40.0,43.63636363636363,16.363636363636363,17.0
15,True,23.0,14.0,55,1.025932763969949,-1.1457712943990095,45.45454545454545,1.2434462265582849,0.14395253327554766,1.8166736604545848,-0.9964421913360241,5.454545454545454,61.81818181818181,32.72727272727273,74.0
6,True,14.0,5.0,55,1.0222574032703868,3.999999999999999,63.63636363636363,1.3576099377364068,1.9321833349905284,0.20646174034888035,-0.5138158385454364,16.363636363636363,67.27272727272727,16.363636363636363,19.0
12,True,32.0,11.0,55,1.0193335949214961,0.27794484990881596,50.90909090909091,1.2687141875339076,0.2977001241074386,1.6663153273754785,-0.5089112710064857,1.8181818181818181,70.9090909090909,27.27272727272727,40.0
10,True,18.0,9.0,55,1.0122441297116083,4.837563851096586,60.0,1.3114840961321386,1.0898729189466043,0.9426459048802323,-0.027072915629828567,1.8181818181818181,78.18181818181819,20.0,35.0
15,True,27.0,14.0,55,1.0031696840824522,-1.1457712943990095,45.45454545454545,1.2380447167341788,0.14395253327554766,1.7735023020472624,-0.9964421913360242,3.6363636363636362,63.63636363636363,32.72727272727273,75.0
10,True,13.0,7.0,55,1.0028156859696071,4.837563851096586,60.0,1.3085828095840542,1.2910517312729899,0.7443971625941607,-0.44380128947549813,14.545454545454545,65.45454545454545,20.0,37.0
8,True,11.0,5.0,55,1.0004810903093249,3.9999999999999973,61.81818181818181,1.3123287625002378,1.2488268219541456,0.7778262964208654,-0.26570546348023016,29.09090909090909,52.72727272727272,18.181818181818183,28.0
12,True,15.0,0.0,55,0.9831312630512149,-1.0,38.18181818181819,1.250757377834792,0.13765592356578965,1.7411436363829755,-0.8340336454783991,32.72727272727273,38.18181818181819,29.09090909090909,53.0
12,True,24.0,9.0,55,0.9801195907310539,0.27794484990881596,50.90909090909091,1.258376689262012,-0.390904584762556,2.209313679104635,-1.1039473981590215,7.2727272727272725,65.45454545454545,27.27272727272727,40.0
15,True,27.0,9.0,55,0.9658667915174287,-1.1457712943990095,45.45454545454545,1.2291930173308734,-0.4854315882323302,2.2670308561206607,-2.0995372748273766,10.909090909090908,54.54545454545454,34.54545454545455,77.0
12,True,15.0,9.0,55,0.9517316491734327,0.27794484990881596,50.90909090909091,1.2508931307003976,0.07922436989617854,1.7339795547323507,-0.8479481871592767,14.545454545454545,58.18181818181818,27.27272727272727,40.0
15,True,20.0,14.0,55,0.9478766864000768,-1.1457712943990095,45.45454545454545,1.224924098976752,0.14395253327554766,1.6686362719599999,-0.9964421913360241,5.454545454545454,61.81818181818181,32.72727272727273,74.0
8,True,16.0,7.0,55,0.9398064398210749,4.670543145058473,61.81818181818181,1.293387436486499,1.0622828793664598,0.829999976780385,-0.6267710016007848,9.090909090909092,72.72727272727273,18.181818181818183,34.0
