signal_i,signal_time,signal_volume,signal_multiple,entry_i,entry_time,fill,outcome,exit_price,exit_time,return_pct,minutes_held,ticker,date,gap_pct,open_price
0,09:30,518993.0,5.35896694736182,4,09:34,2.4040798902511598,SL,2.163671901226044,10:14,-10.999999999999995,40.0,LEDS,2026-07-15,6.2500046566128535,2.380000114440918
2,09:32,590959.0,5.23681924706378,24,09:54,2.122365081310272,EOD,2.065000057220459,15:59,-3.702882015680263,365.0,AMC,2026-07-15,4.591832266207476,2.049999952316284
13,09:54,10036.0,5.633176748331767,33,10:14,1.7955000400543213,TP,1.9750500440597536,11:33,9.00000000000001,79.0,CLIK,2026-07-16,6.824320950065807,1.5809999704360962
11,09:41,28253.0,5.209741648949233,28,09:58,2.1,TP,2.3100000000000005,10:06,9.000000000000018,8.0,STIM,2026-07-16,4.891299594383921,1.9299999475479128
16,09:46,16149.0,8.480669742267235,41,10:11,2.0790000200271606,SL,1.8711000180244446,11:28,-10.999999999999996,77.0,PMAX,2026-07-17,17.111995945121976,2.059999942779541
1,09:31,29224.0,9.46742275970875,5,09:35,1.4227500200271608,TP,1.565025022029877,09:37,9.000000000000005,2.0,TRUG,2026-07-17,16.23932172560853,1.3600000143051147
30,10:00,14178.0,8.826312512969496,41,10:11,1.2600000500679016,TP,1.3860000550746918,10:49,9.000000000000004,38.0,GLXG,2026-07-17,11.214953166906032,1.190000057220459
3,09:33,59121.0,7.582207941624602,4,09:34,1.4857499599456787,TP,1.6343249559402466,09:35,9.000000000000004,1.0,GIPR,2026-07-17,8.870968827347841,1.350000023841858
12,09:42,807889.0,7.506369406108999,15,09:45,2.37195006608963,SL,2.1347550594806672,10:04,-10.999999999999998,19.0,AMC,2026-07-20,13.402060968790517,2.200000047683716
29,09:59,238367.0,6.29182539421727,57,10:27,1.3576499819755554,EOD,1.375,15:59,0.27794484990881596,332.0,SLNH,2026-07-20,5.309740021417584,1.190000057220459
126,11:36,55095.0,6.2886673270129405,133,11:43,1.1658149421215058,TP,1.2823964363336564,11:59,9.0,16.0,LASE,2026-07-21,12.8440349915345,1.2300000190734863
1,09:33,12919.0,5.290279520942798,3,09:39,1.9700000286102295,TP,2.1670000314712525,09:42,9.000000000000005,3.0,PFSA,2026-07-21,4.102560089733415,2.0299999713897705
1,09:31,7593.0,6.88462161199443,6,09:36,2.3313149571418763,TP,2.564446452856064,09:53,9.000000000000002,17.0,SNTG,2026-07-22,12.44019144214157,2.3499999046325684
0,09:30,15272.0,5.7176130712982,2,09:37,1.2999999523162842,SL,1.159999966621399,11:26,-11.769230063850333,109.0,AMSS,2026-07-22,9.401710969221485,1.2799999713897705
1,09:31,17281.0,8.594900278022875,7,09:37,1.2699999809265137,TP,1.3969999790191652,10:16,9.00000000000001,39.0,LICN,2026-07-22,8.695654427396825,1.25
0,09:30,240590.0,5.999657582195099,9,09:39,1.5958949625492096,TP,1.7554844588041307,09:51,9.000000000000012,12.0,CJMB,2026-07-22,4.166662527455388,1.5
3,09:33,6987.0,5.996245066578141,11,09:41,1.7432099997997286,TP,1.9175309997797017,10:20,9.000000000000012,39.0,WLDS,2026-07-23,16.216216651604412,1.7200000286102295
6,09:36,258082.0,7.580898412340225,8,09:47,2.700000047683716,SL,2.4300000429153443,09:47,-10.999999999999996,0.0,CJMB,2026-07-23,7.142857649699376,1.7999999523162842
1,09:31,310217.0,7.143916780881889,7,09:37,2.981999909877777,TP,3.280199900865555,09:39,9.000000000000007,2.0,CJMB,2026-07-24,17.446812871032588,2.759999990463257
29,09:59,251060.0,6.920238261384481,31,10:01,2.8770000100135804,TP,3.1647000110149386,10:34,9.000000000000005,33.0,WLDS,2026-07-24,14.79820273020276,2.559999942779541
4,09:34,19738.0,5.7998863272823415,34,10:04,1.8200000524520874,TP,2.0020000576972965,10:34,9.00000000000002,30.0,ANY,2026-07-24,8.78186813858509,1.919999957084656
67,10:38,16097.0,8.450084921207388,89,11:00,1.9897499799728395,SL,1.7907749819755556,13:58,-10.999999999999998,178.0,MOBX,2026-07-24,7.0680686927627665,2.0450000762939453
45,10:28,15169.0,6.213889100561355,52,10:36,1.25,TP,1.3787000179290771,11:09,9.296001434326172,33.0,HYFT,2026-07-24,4.2372943854341605,1.2300000190734863
1,09:31,71671.0,6.354992933435549,16,09:46,1.8392850458621979,TP,2.0232135504484177,10:01,9.0,15.0,GMEX,2026-07-27,16.326530943243892,1.7100000381469729
12,09:42,465457.0,8.661285397524583,15,09:45,2.4779998898506164,TP,2.7257998788356783,09:46,9.000000000000012,1.0,LVWR,2026-07-27,9.589039865544988,1.600000023841858
25,10:31,21902.0,5.115297781237835,27,10:33,1.2798999547958374,EOD,1.2599999904632568,15:59,-2.554806237629323,326.0,REBN,2026-07-27,9.109111044167758,1.090000033378601
9,09:41,14309.0,6.006450984606292,12,09:44,2.1839999198913573,EOD,2.0350000858306885,15:59,-7.82233697463143,375.0,VRXA,2026-07-27,5.000001986821545,1.8899999856948853
14,09:44,63578.0,8.767582979250815,23,09:53,1.5645000100135804,TP,1.7209500110149385,15:05,9.000000000000004,312.0,OPK,2026-07-28,11.290321340173897,1.3799999952316284
0,09:30,454774.0,5.416433419332399,2,09:32,2.173499929904938,TP,2.390849922895432,09:38,9.000000000000002,6.0,LVWR,2026-07-29,10.25641245092704,2.1500000953674316
